NRO;CODIGO;UND;DESCRIPCION;ESTADO;OBSERVACION;
1;U147121717244;UND;ESTABILIZADOR ESTABILIZADOR DE VOLTAJE FORZA DE 1000VA;BUENO;;
2;U147121717245;UND;ESTABILIZADOR ESTABILIZADOR DE VOLTAJE FORZA DE 1000VA;BUENO;;
3;U147121717246;UND;ESTABILIZADOR ESTABILIZADOR DE VOLTAJE FORZA DE 1000VA;BUENO;;
4;U147124117399;EQPO;CPU (EQPO. COMPUTACION) EQUIPO DE COMPUTACION CPU LENOVO, MODELO THINKCENTRE M910, PROCESADOR INTEL CORE I7-7700 DE SEPTIMA GENERACION, MEMORIA RAM DDR4 SDRAM DE 8 GB, DISCO DURO DE 1 TB SATA 7200 RPM, TARJETA DE VIDEO NVIDIA DE 4 GB PCLE;BUENO;;
5;U147124117400;EQPO;CPU (EQPO. COMPUTACION) EQUIPO DE COMPUTACION CPU LENOVO, MODELO THINKCENTRE M910, PROCESADOR INTEL CORE I7-7700 DE SEPTIMA GENERACION, MEMORIA RAM DDR4 SDRAM DE 8 GB, DISCO DURO DE 1 TB SATA 7200 RPM, TARJETA DE VIDEO NVIDIA DE 4 GB PCLE;BUENO;;
6;U147124117401;EQPO;CPU (EQPO. COMPUTACION) EQUIPO DE COMPUTACION CPU LENOVO, MODELO THINKCENTRE M910, PROCESADOR INTEL CORE I7-7700 DE SEPTIMA GENERACION, MEMORIA RAM DDR4 SDRAM DE 8 GB, DISCO DURO DE 1 TB SATA 7200 RPM, TARJETA DE VIDEO NVIDIA DE 4 GB PCLE;BUENO;;
7;U147124217321;UND;MONITOR PARA COMPUTADORA MONITOR LENOVO LED DE 19,5 PULGADAS MODELO E2054;BUENO;;
8;U147124217322;UND;MONITOR PARA COMPUTADORA MONITOR LENOVO LED DE 19,5 PULGADAS MODELO E2054;BUENO;;
9;U147124217323;UND;MONITOR PARA COMPUTADORA MONITOR LENOVO LED DE 19,5 PULGADAS MODELO E2054;BUENO;;
1;U147111642098;UND;MESA MESA PERSONAL METALICA MODELO WORKPRO-1;BUENO;;
2;U147111642099;UND;MESA MESA METALICA BIPERSONAL MODELO WORKPRO-2;BUENO;;
3;U147111642100;UND;MESA MESA METALICA BIPERSONAL MODELO WORKPRO-2;BUENO;;
4;U147111642101;UND;MESA MESA METALICA BIPERSONAL MODELO WORKPRO-2;BUENO;;
5;U147111642102;UND;MESA MESA METALICA BIPERSONAL MODELO WORKPRO-2;BUENO;;
6;U147111642103;UND;MESA MESA METALICA BIPERSONAL MODELO WORKPRO-2;BUENO;;
7;U147111642104;UND;MESA MESA METALICA BIPERSONAL MODELO WORKPRO-2;BUENO;;
8;U147111642105;UND;MESA MESA METALICA BIPERSONAL MODELO WORKPRO-2;BUENO;;
9;U147111642106;UND;MESA MESA METALICA BIPERSONAL MODELO WORKPRO-2;BUENO;;
10;U147111642107;UND;MESA MESA METALICA BIPERSONAL MODELO WORKPRO-2;BUENO;;
