NRO;CODIGO;UND;DESCRIPCION;ESTADO;OBSERVACION;
1;U070313492805;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.;BUENO;;
2;U070313492806;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.;BUENO;;
3;U070313492807;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.;BUENO;Movido 236-47;
4;U070313492808;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.;BUENO;;
5;U070313492809;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.;BUENO;Movido 236-47;
6;U070313492811;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.;BUENO;;
7;U070313492812;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.;BUENO;Movido 236-47;
8;U070313492813;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.;BUENO;;
9;U070313492814;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.;BUENO;;
10;U070313492815;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.;BUENO;;
11;U070313492816;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.;BUENO;;
12;U070313492817;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.;BUENO;Movido 236-47;
13;U070313492818;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.;BUENO;;
14;U070313492819;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.;BUENO;;
15;U070313492820;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.;BUENO;Movido 236-47;
16;U070313492821;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.;BUENO;;
17;U070313492822;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.;BUENO;;
18;U070313492823;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.;BUENO;Movido 236-47;
19;U070313492824;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.;BUENO;;
20;U070313492825;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.;BUENO;;
21;U070313492826;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.;BUENO;Movido 236-47;
22;U070313492827;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.;BUENO;;
23;U070313492828;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.;BUENO;;
24;U070313492830;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.;BUENO;;
25;U070313492831;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.;BUENO;;
26;U070313492832;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.;BUENO;;
27;U070313492833;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.;BUENO;;
28;U070313492834;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.;BUENO;;
29;U070313492835;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.;BUENO;;
30;U070313492836;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.;BUENO;;
31;U070313492837;UND;MESA PARA COMPUTADORA MESA PARA COMPUTADORA DE MELAMINICO DE: 0.60*0.45*0.76 MTS.;BUENO;Movido 236-47;
1;U144771011358;UND;RETROPROYECTOR - PROYECTOR PROYECTOR INTERACTIVO MULTIMEDIA BRIGHTLINK 455WI;REGULAR;Movido al 236-47;
