NRO;CODIGO;UND;DESCRIPCION;ESTADO;OBSERVACION;
37;U141967010569;UND;EQUIPO PARA REDES SWITCH DELL MODELO POWER CONNECT 2824 24 PUERTOS BASE-T;BUENO;Movido al 236-48;
38;U141968110404;UND;CAMARA DE VIGILANCIA CAMARA IR DOMO ANTIVANDALISMO DE 700 TVL.;BUENO;;
39;U141968210030;UND;EQUIPO GRABADOR DIGITAL DVR GRABADOR DE 16 CANALES DE VIDEO FULL 2CIF. DISCO DURO DE 3TB, TAMANO DE: 32.5*24.5*0.45 MTS.;BUENO;Movido al 236-47. Para dar de baja.;
40;U141970690574;PZA;PIZARRA ACRILICA DE:3,00X1,20 MTS.;REGULAR;;
41;U141971011198;UND;RETROPROYECTOR - PROYECTOR PROYECTOR MULTIMEDIA EPSON MODELO BRIGHLINK 455WI+;REGULAR;;
42;U142412470098;PZA;SILLA SILLA METALICA DE TUBO DE 1.2 MM. ASIENTO Y RESPALDAR CON FORMICA.;REGULAR;;
43;U142412470099;PZA;SILLA SILLA METALICA DE TUBO DE 1.2 MM. ASIENTO Y RESPALDAR CON FORMICA.;REGULAR;;
44;U142412470100;PZA;SILLA SILLA METALICA DE TUBO DE 1.2 MM. ASIENTO Y RESPALDAR CON FORMICA.;REGULAR;;
45;U142412470101;PZA;SILLA SILLA METALICA DE TUBO DE 1.2 MM. ASIENTO Y RESPALDAR CON FORMICA.;REGULAR;;
46;U142412470103;PZA;SILLA SILLA METALICA DE TUBO DE 1.2 MM. ASIENTO Y RESPALDAR CON FORMICA.;REGULAR;;
47;U142412470104;PZA;SILLA SILLA METALICA DE TUBO DE 1.2 MM. ASIENTO Y RESPALDAR CON FORMICA.;REGULAR;;
48;U142412470106;PZA;SILLA SILLA METALICA DE TUBO DE 1.2 MM. ASIENTO Y RESPALDAR CON FORMICA.;REGULAR;;
49;U142412470107;PZA;SILLA SILLA METALICA DE TUBO DE 1.2 MM. ASIENTO Y RESPALDAR CON FORMICA.;REGULAR;;
50;U142412470108;PZA;SILLA SILLA METALICA DE TUBO DE 1.2 MM. ASIENTO Y RESPALDAR CON FORMICA.;REGULAR;;
