NRO;CODIGO;UND;DESCRIPCION;ESTADO;OBSERVACION;
33;U142413132615;PZA;TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.;BUENO;Movido al 232-11;
34;U142413132616;PZA;TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.;BUENO;Movido al 232-11;
35;U142413132617;PZA;TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.;BUENO;Movido al 232-11;
36;U142413132618;PZA;TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.;BUENO;Movido al 232-11;
37;U142413132619;PZA;TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.;BUENO;Movido al 232-11;
38;U142413132620;PZA;TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.;BUENO;Movido al 232-11;
39;U142413132621;PZA;TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.;REGULAR;Movido al 232-11;
40;U142413132622;PZA;TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.;REGULAR;Movido al 232-11;
41;U142413132623;PZA;TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.;REGULAR;Movido al 232-11;
42;U142413132624;PZA;TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.;REGULAR;Movido al 232-11;
43;U142413132625;PZA;TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.;REGULAR;Movido al 232-11;
44;U142413132626;PZA;TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.;BUENO;Movido al 232-11;
45;U142413132627;PZA;TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.;REGULAR;Movido al 232-11;
46;U142413132628;PZA;TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.;REGULAR;Movido al 232-11;
47;U142413132629;PZA;TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.;REGULAR;Movido al 232-11;
48;U142413132630;PZA;TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.;REGULAR;Movido al 232-11;
49;U142413132631;PZA;TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.;REGULAR;Movido al 232-11;
50;U142413132632;PZA;TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.;REGULAR;Movido al 232-11;
51;U142413132633;PZA;TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.;REGULAR;Movido al 232-11;
52;U142413132634;PZA;TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.;REGULAR;Movido al 232-11;
53;U142413132635;PZA;TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.;REGULAR;Movido al 232-11;
54;U142413132636;PZA;TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.;REGULAR;Movido al 232-11;
55;U142413132637;PZA;TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.;REGULAR;Movido al 232-11;
56;U142413132639;PZA;TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.;REGULAR;Movido al 232-11;
57;U142413132640;PZA;TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.;REGULAR;Movido al 232-11;
58;U142413132641;PZA;TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.;REGULAR;Movido al 232-11;
59;U142413132642;PZA;TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.;REGULAR;Movido al 232-11;
60;U142413132643;PZA;TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.;REGULAR;Movido al 232-11;
61;U142413132645;PZA;TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.;REGULAR;Movido al 232-11;
62;U142413132647;PZA;TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.;REGULAR;Movido al 232-11;
63;U142413132649;PZA;TABURETE TABURETE DE MADERA. ASIENTO REDONDO. BASE 20*20CM. PATAS 30*30CM. ALTURA 63CM.;BUENO;Movido al 232-11;
64;U144789610053;UND;OTRAS HERRAMIENTAS KIT DE ROBOTICA EDUCATIVA SAWERSBOT-OHR;BUENO;Movido al 232-12;
65;U144789610054;UND;OTRAS HERRAMIENTAS KIT DE ROBOTICA EDUCATIVA SAWERSBOT-OHR;BUENO;Movido al 232-12;
66;U147168110453;UND;CAMARA DE VIGILANCIA CAMARA DE VIGILANCIA DE 700 TVL*510 H 492 PIXEL 1/3 CCD CHIP SONY;BUENO;Ubicado adelante;
1;U147167011259;UND;EQUIPO PARA REDES HAP AC LITE DUAL BAND2/5 CPU 650 MHZ *RAM 64 MB*1.;BUENO;Movido al 232-11;
2;U147167011260;UND;EQUIPO PARA REDES HAP AC LITE DUAL BAND2/5 CPU 650 MHZ *RAM 64 MB*1.;BUENO;Movido al 232-11;
3;U147167011261;UND;EQUIPO PARA REDES MIKROTIK -ROUTERBOARD RB-941-2ND-TC-L4 HAP-LITE.;BUENO;Movido al 232-11;
4;U147167011262;UND;EQUIPO PARA REDES MIKROTIK -ROUTERBOARD RB-941-2ND-TC-L4 HAP-LITE.;BUENO;Movido al 232-11;
5;U147167011263;UND;EQUIPO PARA REDES MIKROTIK -ROUTERBOARD RB-941-2ND-TC-L4 HAP-LITE.;BUENO;Movido al 232-11;
6;U147167011264;UND;EQUIPO PARA REDES MIKROTIK -ROUTERBOARD RB-941-2ND-TC-L4 HAP-LITE.;BUENO;Movido al 232-11;
